 Var1 Var2 PearsonCorrelation
0 MO3 MO4 0.9263172909008761
1 MO11 MO12 0.8555831563125763
2 MO6 MO11 0.8414455547075954
3 MO6 MO12 0.6996770571847485
4 MO6 MO14 0.5388457732411384
5 MO12 MO14 0.5144885785672608
6 MO11 MO14 0.44770132596842566
7 MO3 MO14 -0.5904970608452211
8 MO4 MO14 -0.7267262100512635
9 MO4 MO12 -0.7828509368546382
10 MO3 MO12 -0.8185445289228066
11 MO4 MO11 -0.8444018554125282
12 MO3 MO6 -0.9076591188348079
13 MO4 MO6 -0.9640512073219161
14 MO3 MO11 -0.9660698717118271
